login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
dennybritz,dennybritz/reinforcement-learning,2016-08-24T17:02:41Z,20541,20541,Jupyter Notebook,true,true,MIT License
dennybritz,dennybritz/deeplearning-papernotes,2015-12-19T18:34:21Z,4404,4404,,true,true,
dennybritz,dennybritz/cnn-text-classification-tf,2015-11-24T15:43:25Z,5647,5647,Python,true,true,Apache License 2.0
dennybritz,dennybritz/startupreadings,2013-07-31T05:06:54Z,429,429,,true,true,
dennybritz,dennybritz/nn-from-scratch,2015-09-02T09:30:43Z,1940,1940,Jupyter Notebook,true,true,MIT License
dennybritz,dennybritz/chatbot-retrieval,2016-04-19T00:52:38Z,1577,1577,Jupyter Notebook,true,true,MIT License
dennybritz,dennybritz/neal-react,2015-10-07T19:50:23Z,1383,1383,JavaScript,true,true,ISC License
dennybritz,dennybritz/booknotes,2014-10-29T09:37:19Z,139,139,,true,true,
dennybritz,dennybritz/docker-splunk,2018-08-07T05:36:12Z,12,12,Shell,true,true,Apache License 2.0
dennybritz,dennybritz/rnn-tutorial-gru-lstm,2015-10-12T08:51:33Z,496,496,Python,true,true,
dennybritz,dennybritz/representation-learning,2016-02-02T10:20:28Z,13,13,Jupyter Notebook,true,true,
dennybritz,dennybritz/probability-monads,2022-12-13T05:39:40Z,10,10,Haskell,true,true,
dennybritz,dennybritz/nn-theano,2015-09-08T02:32:26Z,62,62,Python,true,true,
dennybritz,dennybritz/rails_startup_template,2013-08-11T04:02:02Z,669,669,Ruby,true,true,
dennybritz,dennybritz/rnn-tutorial-rnnlm,2015-09-20T08:46:18Z,895,895,Jupyter Notebook,true,true,Apache License 2.0
dennybritz,dennybritz/ablog-content,2020-05-11T13:12:41Z,9,9,Jupyter Notebook,true,true,
dennybritz,dennybritz/bella,2015-11-02T10:25:23Z,55,55,JavaScript,true,true,
dennybritz,dennybritz/tf-rnn,2016-08-07T21:47:15Z,484,484,Jupyter Notebook,true,true,
dennybritz,dennybritz/papergraph,2020-04-28T18:39:35Z,188,188,Jupyter Notebook,true,true,
dennybritz,dennybritz/linkedin-extractor,2015-04-02T01:41:39Z,25,25,HTML,true,true,
dennybritz,dennybritz/neal-sample,2015-10-25T13:08:07Z,69,69,JavaScript,true,true,
dennybritz,dennybritz/papergraph-ui,2020-05-25T21:20:11Z,52,52,Svelte,true,true,
dennybritz,dennybritz/pandoc-graphql,2020-05-05T18:24:20Z,12,12,Rust,true,true,
dennybritz,dennybritz/url-metadata-extractor,2015-03-20T07:19:53Z,26,26,HTML,true,true,
dennybritz,dennybritz/models,2017-09-20T08:17:52Z,7,7,Python,true,true,Apache License 2.0
dennybritz,dennybritz/sentiment-analysis,2015-11-18T18:25:04Z,42,42,Jupyter Notebook,true,true,
dennybritz,dennybritz/arrow-datafusion,2023-02-25T11:11:16Z,0,0,Rust,true,false,Apache License 2.0
dennybritz,dennybritz/twitter-smileys,2015-10-30T17:24:41Z,1,1,TeX,true,true,
dennybritz,dennybritz/twitter-collect,2015-03-11T12:51:26Z,3,3,JavaScript,true,true,
dennybritz,dennybritz/visual-pagedump,2015-12-13T10:18:40Z,6,6,JavaScript,true,true,
dennybritz,dennybritz/elk-playground,2015-07-12T06:05:41Z,5,5,Shell,true,true,
dennybritz,dennybritz/deepdive,2013-10-26T14:25:47Z,36,36,Scala,true,true,
dennybritz,dennybritz/rnn-bptt,2015-10-08T13:55:40Z,1,1,TeX,true,true,
dennybritz,dennybritz/actioncrawler,2015-12-18T12:08:07Z,1,1,JavaScript,true,true,
dennybritz,dennybritz/phonenumber-api,2015-07-17T09:16:39Z,1,1,Scala,true,true,
dennybritz,dennybritz/boilerpipe-api,2015-07-29T10:03:26Z,5,5,Scala,true,true,
